HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"7213.20.00.10","2","Containing by weight 0.1 percent or more of lead","[""kg""]","","","","",""
"7213.20.00.80","2","Other","[""kg""]","","","","",""
"","1","Other:","","","","","",""
"7213.91","2","Of circular cross section measuring less than 14 mm in diameter:","","","","","",""
"7213.91.30","3","Not tempered, not treated and not partly manufactured","","Free","","5.5%","",""
"7213.91.30.11","4","Tire cord-quality steel wire rod of a kind described in statistical note 5 to this chapter","[""kg""]","","","","",""
"7213.91.30.15","4","Of Cold Heading Quality (CHQ) steel of a kind described in statistical note 6 to this chapter","[""kg""]","","","","",""
"7213.91.30.20","4","Of welding quality wire rods of a kind described in statistical note 7 to this chapter","[""kg""]","","","","",""
"7213.91.30.93","4","Other","[""kg""]","","","","",""
"","3","Other:","","","","","",""
"7213.91.45.00","4","Containing by weight 0.6 percent or more of carbon","[""kg""]","Free","","5.5%","",""
"7213.91.60.00","4","Other","[""kg""]","Free","","6%","",""
"7213.99.00","2","Other","","Free","","5.5%","",""
"","3","Of circular cross section:","","","","","",""
"7213.99.00.30","4","With a diameter of 14 mm or more but less than 19 mm","[""kg""]","","","","",""
"7213.99.00.60","4","With a diameter of 19 mm or more","[""kg""]","","","","",""
"7213.99.00.90","3","Other","[""kg""]","","","","",""
"7214","0","Other bars and rods of iron or nonalloy steel, not further worked than forged, hot-rolled, hot-drawn or hot-extruded, but including those twisted after rolling:","","","","","",""
"7214.10.00.00","1","Forged","[""kg""]","Free","","20%","",""
"7214.20.00.00","1","Concrete reinforcing bars and rods","[""kg""]","Free","","20%","",""
"7214.30.00","1","Other, of free-cutting steel","","Free","","20%","",""
"7214.30.00.10","2","Containing by weight 0.1 percent or more of lead","[""kg""]","","","","",""
"7214.30.00.80","2","Other","[""kg""]","","","","",""
"","1","Other:","","","","","",""
"7214.91.00","2","Of rectangular (other than square) cross-section","","Free","","20%","",""
"","3","Containing by weight less than 0.25 percent of carbon:","","","","","",""
"7214.91.00.16","4","With a maximum cross section less than 152 mm","[""kg""]","","","","",""
"7214.91.00.20","4","With a maximum cross section of 152 mm or more","[""kg""]","","","","",""
"7214.91.00.60","3","Containing by weight 0.25 percent or more but less than 0.6 percent of carbon","[""kg""]","","","","",""
"7214.91.00.90","3","Containing by weight 0.6 percent or more of carbon","[""kg""]","","","","",""
"7214.99.00","2","Other","","Free","","20%","",""
"","3","Rounds:","","","","","",""
"","4","Containing by weight less than 0.25 percent of carbon:","","","","","",""
"7214.99.00.16","5","With a diameter less than 76 mm","[""kg""]","","","","",""
"7214.99.00.21","5","With a diameter of 76 mm or more but not exceeding 152 mm","[""kg""]","","","","",""
"7214.99.00.26","5","With a diameter exceeding 152 mm","[""kg""]","","","","",""
"","4","Containing by weight 0.25 percent or more but less than 0.6 percent of carbon:","","","","","",""
"7214.99.00.31","5","With a diameter less than 76 mm","[""kg""]","","","","",""
"7214.99.00.36","5","With a diameter of 76 mm or more but not exceeding 152 mm","[""kg""]","","","","",""
"7214.99.00.40","5","With a diameter exceeding 152 mm","[""kg""]","","","","",""
"7214.99.00.45","4","Containing by weight 0.6 percent or more of carbon","[""kg""]","","","","",""
"","3","Other:","","","","","",""
"7214.99.00.60","4","Containing by weight less than 0.25 percent of carbon","[""kg""]","","","","",""
"7214.99.00.75","4","Containing by weight 0.25 percent or more but less than 0.6 percent of carbon","[""kg""]","","","","",""
"7214.99.00.90","4","Containing by weight 0.6 percent or more of carbon","[""kg""]","","","","",""
"7215","0","Other bars and rods of iron or nonalloy steel:","","","","","",""
"7215.10.00","1","Of free-cutting steel, not further worked than cold-formed or cold-finished","","Free","","0.3¢/kg + 20%","",""
"7215.10.00.10","2","Containing by weight 0.1 percent or more of lead","[""kg""]","","","","",""
